Folder dataImp created!
Folder monitor created!
Folder picture created!
Folder train_par created!
Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 499      |
|    ep_rew_mean     | -237     |
| time/              |          |
|    fps             | 94       |
|    iterations      | 1        |
|    time_elapsed    | 132      |
|    total_timesteps | 12500    |
---------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -234          |
| time/                   |               |
|    fps                  | 65            |
|    iterations           | 2             |
|    time_elapsed         | 383           |
|    total_timesteps      | 25000         |
| train/                  |               |
|    approx_kl            | 0.00080480444 |
|    clip_fraction        | 0.00016       |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.42         |
|    explained_variance   | -0.00902      |
|    learning_rate        | 0.0005        |
|    loss                 | 0.547         |
|    n_updates            | 10            |
|    policy_gradient_loss | -0.0002       |
|    std                  | 1.01          |
|    value_loss           | 34.2          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -228         |
| time/                   |              |
|    fps                  | 60           |
|    iterations           | 3            |
|    time_elapsed         | 619          |
|    total_timesteps      | 37500        |
| train/                  |              |
|    approx_kl            | 0.0025218218 |
|    clip_fraction        | 0.000688     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.43        |
|    explained_variance   | 0.26         |
|    learning_rate        | 0.0005       |
|    loss                 | 1.33         |
|    n_updates            | 20           |
|    policy_gradient_loss | -7.57e-05    |
|    std                  | 1.01         |
|    value_loss           | 7.14         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -221         |
| time/                   |              |
|    fps                  | 58           |
|    iterations           | 4            |
|    time_elapsed         | 851          |
|    total_timesteps      | 50000        |
| train/                  |              |
|    approx_kl            | 0.0039318306 |
|    clip_fraction        | 0.0106       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.43        |
|    explained_variance   | 0.588        |
|    learning_rate        | 0.0005       |
|    loss                 | 2.89         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.000753    |
|    std                  | 1.01         |
|    value_loss           | 9.28         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -209        |
