Folder dataImp created!
Folder monitor created!
Folder picture created!
Folder train_par created!
Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 499      |
|    ep_rew_mean     | -1.5e+03 |
| time/              |          |
|    fps             | 28       |
|    iterations      | 1        |
|    time_elapsed    | 434      |
|    total_timesteps | 12500    |
---------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.5e+03      |
| time/                   |               |
|    fps                  | 20            |
|    iterations           | 2             |
|    time_elapsed         | 1217          |
|    total_timesteps      | 25000         |
| train/                  |               |
|    approx_kl            | 1.6034108e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.42         |
|    explained_variance   | -0.0158       |
|    learning_rate        | 0.0001        |
|    loss                 | 1.36e+03      |
|    n_updates            | 10            |
|    policy_gradient_loss | 1.11e-07      |
|    std                  | 0.999         |
|    value_loss           | 2.8e+03       |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -1.5e+03     |
| time/                   |              |
|    fps                  | 18           |
|    iterations           | 3            |
|    time_elapsed         | 2004         |
|    total_timesteps      | 37500        |
| train/                  |              |
|    approx_kl            | 9.953648e-05 |
|    clip_fraction        | 4e-05        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.0637       |
|    learning_rate        | 0.0001       |
|    loss                 | 1.2e+03      |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.000155    |
|    std                  | 0.998        |
|    value_loss           | 2.64e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -1.49e+03    |
| time/                   |              |
|    fps                  | 17           |
|    iterations           | 4            |
|    time_elapsed         | 2798         |
|    total_timesteps      | 50000        |
| train/                  |              |
|    approx_kl            | 3.922546e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.138        |
|    learning_rate        | 0.0001       |
|    loss                 | 1.05e+03     |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.000107    |
|    std                  | 0.999        |
|    value_loss           | 2.47e+03     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.49e+03     |
| time/                   |               |
|    fps                  | 17            |
|    iterations           | 5             |
|    time_elapsed         | 3599          |
|    total_timesteps      | 62500         |
| train/                  |               |
|    approx_kl            | 4.0380382e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.42         |
|    explained_variance   | 0.281         |
|    learning_rate        | 0.0001        |
|    loss                 | 786           |
|    n_updates            | 40            |
|    policy_gradient_loss | -0.000117     |
|    std                  | 1             |
|    value_loss           | 1.98e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.49e+03     |
| time/                   |               |
|    fps                  | 17            |
|    iterations           | 6             |
|    time_elapsed         | 4396          |
|    total_timesteps      | 75000         |
| train/                  |               |
|    approx_kl            | 6.5278814e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.42         |
|    explained_variance   | 0.426         |
|    learning_rate        | 0.0001        |
|    loss                 | 597           |
|    n_updates            | 50            |
|    policy_gradient_loss | -1.93e-05     |
|    std                  | 1             |
|    value_loss           | 1.76e+03      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -1.49e+03    |
| time/                   |              |
|    fps                  | 16           |
|    iterations           | 7            |
|    time_elapsed         | 5192         |
|    total_timesteps      | 87500        |
| train/                  |              |
|    approx_kl            | 2.773057e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.432        |
|    learning_rate        | 0.0001       |
|    loss                 | 778          |
|    n_updates            | 60           |
|    policy_gradient_loss | -4.17e-05    |
|    std                  | 1            |
|    value_loss           | 1.79e+03     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.49e+03     |
| time/                   |               |
|    fps                  | 16            |
|    iterations           | 8             |
|    time_elapsed         | 5986          |
|    total_timesteps      | 100000        |
| train/                  |               |
|    approx_kl            | 0.00018856359 |
|    clip_fraction        | 0.0002        |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.42         |
|    explained_variance   | 0.347         |
|    learning_rate        | 0.0001        |
|    loss                 | 1.31e+03      |
|    n_updates            | 70            |
|    policy_gradient_loss | -0.000533     |
|    std                  | 1             |
|    value_loss           | 2.47e+03      |
-------------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 499            |
|    ep_rew_mean          | -1.48e+03      |
| time/                   |                |
|    fps                  | 16             |
|    iterations           | 9              |
|    time_elapsed         | 6779           |
|    total_timesteps      | 112500         |
| train/                  |                |
|    approx_kl            | 1.42950785e-05 |
|    clip_fraction        | 0              |
|    clip_range           | 0.2            |
|    entropy_loss         | -1.42          |
|    explained_variance   | 0.387          |
|    learning_rate        | 0.0001         |
|    loss                 | 1.12e+03       |
|    n_updates            | 80             |
|    policy_gradient_loss | -6.48e-05      |
|    std                  | 1              |
|    value_loss           | 2.32e+03       |
--------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.49e+03     |
| time/                   |               |
|    fps                  | 16            |
|    iterations           | 10            |
|    time_elapsed         | 7576          |
|    total_timesteps      | 125000        |
| train/                  |               |
|    approx_kl            | 0.00013335107 |
|    clip_fraction        | 3.2e-05       |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.42         |
|    explained_variance   | 0.311         |
|    learning_rate        | 0.0001        |
|    loss                 | 1.18e+03      |
|    n_updates            | 90            |
|    policy_gradient_loss | -0.000233     |
|    std                  | 1             |
|    value_loss           | 2.61e+03      |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -1.49e+03   |
| time/                   |             |
|    fps                  | 16          |
|    iterations           | 11          |
|    time_elapsed         | 8371        |
|    total_timesteps      | 137500      |
| train/                  |             |
|    approx_kl            | 9.27568e-06 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.416       |
|    learning_rate        | 0.0001      |
|    loss                 | 1.12e+03    |
|    n_updates            | 100         |
|    policy_gradient_loss | -2.36e-05   |
|    std                  | 1           |
|    value_loss           | 2.28e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -1.49e+03   |
| time/                   |             |
|    fps                  | 16          |
|    iterations           | 12          |
|    time_elapsed         | 9165        |
|    total_timesteps      | 150000      |
| train/                  |             |
|    approx_kl            | 6.92063e-05 |
|    clip_fraction        | 0.000128    |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.309       |
|    learning_rate        | 0.0001      |
|    loss                 | 1.17e+03    |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.000452   |
|    std                  | 1           |
|    value_loss           | 2.32e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -1.48e+03    |
| time/                   |              |
|    fps                  | 16           |
|    iterations           | 13           |
|    time_elapsed         | 9964         |
|    total_timesteps      | 162500       |
| train/                  |              |
|    approx_kl            | 8.047386e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.265        |
|    learning_rate        | 0.0001       |
|    loss                 | 877          |
|    n_updates            | 120          |
|    policy_gradient_loss | -1.81e-05    |
|    std                  | 0.998        |
|    value_loss           | 2.03e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -1.49e+03    |
| time/                   |              |
|    fps                  | 16           |
|    iterations           | 14           |
|    time_elapsed         | 10755        |
|    total_timesteps      | 175000       |
| train/                  |              |
|    approx_kl            | 0.0001983083 |
|    clip_fraction        | 0.000208     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.352        |
|    learning_rate        | 0.0001       |
|    loss                 | 809          |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00038     |
|    std                  | 0.998        |
|    value_loss           | 1.63e+03     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.51e+03     |
| time/                   |               |
|    fps                  | 16            |
|    iterations           | 15            |
|    time_elapsed         | 11553         |
|    total_timesteps      | 187500        |
| train/                  |               |
|    approx_kl            | 7.2603993e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.42         |
|    explained_variance   | 0.384         |
|    learning_rate        | 0.0001        |
|    loss                 | 776           |
|    n_updates            | 140           |
|    policy_gradient_loss | -2.09e-05     |
|    std                  | 0.996         |
|    value_loss           | 1.69e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.51e+03     |
| time/                   |               |
|    fps                  | 16            |
|    iterations           | 16            |
|    time_elapsed         | 12347         |
|    total_timesteps      | 200000        |
| train/                  |               |
|    approx_kl            | 0.00011008496 |
|    clip_fraction        | 6.4e-05       |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.332         |
|    learning_rate        | 0.0001        |
|    loss                 | 783           |
|    n_updates            | 150           |
|    policy_gradient_loss | -0.000205     |
|    std                  | 0.995         |
|    value_loss           | 1.57e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.51e+03     |
| time/                   |               |
|    fps                  | 16            |
|    iterations           | 17            |
|    time_elapsed         | 13146         |
|    total_timesteps      | 212500        |
| train/                  |               |
|    approx_kl            | 0.00023040599 |
|    clip_fraction        | 0.000152      |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.42         |
|    explained_variance   | 0.34          |
|    learning_rate        | 0.0001        |
|    loss                 | 768           |
|    n_updates            | 160           |
|    policy_gradient_loss | -0.00036      |
|    std                  | 0.999         |
|    value_loss           | 1.51e+03      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -1.49e+03    |
| time/                   |              |
|    fps                  | 16           |
|    iterations           | 18           |
|    time_elapsed         | 13944        |
|    total_timesteps      | 225000       |
| train/                  |              |
|    approx_kl            | 5.682516e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.343        |
|    learning_rate        | 0.0001       |
|    loss                 | 908          |
|    n_updates            | 170          |
|    policy_gradient_loss | -1.04e-05    |
|    std                  | 0.997        |
|    value_loss           | 1.55e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -1.49e+03    |
| time/                   |              |
|    fps                  | 16           |
|    iterations           | 19           |
|    time_elapsed         | 14736        |
|    total_timesteps      | 237500       |
| train/                  |              |
|    approx_kl            | 2.808638e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.295        |
|    learning_rate        | 0.0001       |
|    loss                 | 794          |
|    n_updates            | 180          |
|    policy_gradient_loss | -6.06e-05    |
|    std                  | 0.992        |
|    value_loss           | 1.64e+03     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.48e+03     |
| time/                   |               |
|    fps                  | 16            |
|    iterations           | 20            |
|    time_elapsed         | 15529         |
|    total_timesteps      | 250000        |
| train/                  |               |
|    approx_kl            | 2.5438192e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.314         |
|    learning_rate        | 0.0001        |
|    loss                 | 1e+03         |
|    n_updates            | 190           |
